Opened database successfully: ACC_BBALL
PLAYER_ID TEAM_ID UNIFORM_NUM FIRST_NAME LAST_NAME MPG PPG RPG APG SPG BPG
3 1 25 Jordan Chatman 25 9 2 1 0.6 0.2
4 1 11 A.J. Turner 31 8 3 3 0.6 0.2
6 1 2 Connar Tava 25 6 5 2 0.7 0.3
18 2 12 Avry Holmes 27 10 2 1 1.0 0.0
19 2 2 Marcquise Reed 22 10 2 2 1.4 0.0
21 2 15 Donte Grantham 28 7 4 2 0.8 0.6
22 2 10 Gabe DeVoe 24 7 3 2 1.1 0.2
33 3 15 Frank Jackson 25 11 3 2 0.6 0.1
35 3 13 Matt Jones 33 7 3 2 1.7 0.2
48 4 14 Terance Mann 25 8 5 2 1.0 0.2
60 5 1 Tadric Jackson 24 12 2 2 0.7 0.2
75 6 22 Deng Adel 30 12 5 2 0.6 0.4
87 7 5 Davon Reed 35 15 5 2 1.3 0.5
88 7 0 Ja'Quan Newton 31 14 4 3 1.1 0.0
91 7 3 Anthony LawrenceII 26 7 4 2 1.3 0.5
99 8 3 Terry Henderson 31 14 3 2 0.7 0.6
100 8 24 Maverick Rowan 30 12 4 1 0.6 0.2
102 8 2 Torin Dorn 24 10 5 1 0.4 0.1
105 8 11 Markell Johnson 20 4 2 2 0.9 0.3
117 9 24 Kenny Williams 24 6 3 2 0.9 0.3
128 10 3 V.J. Beachem 34 15 4 1 0.9 1.1
130 10 32 Steve Vasturia 35 13 4 3 1.2 0.1
131 10 0 Rex Pflueger 21 5 3 2 0.9 0.3
142 11 23 Cameron Johnson 33 12 5 2 0.9 0.3
144 11 12 Chris Jones 32 7 3 2 0.6 0.3
155 12 25 Tyus Battle 31 11 2 2 1.3 0.2
159 12 21 Tyler Roberson 20 5 5 1 0.5 0.8
172 13 4 Marial Shayok 21 9 2 1 0.9 0.3
173 13 0 Devon Hall 27 8 4 2 0.5 0.1
176 13 51 Darius Thompson 21 6 2 2 0.8 0.4
185 14 4 Seth Allen 29 13 2 3 0.8 0.1
187 14 13 Ahmed Hill 30 11 3 1 0.2 0.2
189 14 10 Justin Bibbs 31 9 3 2 0.3 0.1
199 15 34 Austin Arians 23 9 2 1 0.5 0.1
200 15 10 Mitchell Wilbekin 25 7 2 2 0.8 0.1
201 15 0 Brandon Childress 22 7 2 2 0.8 0.0
215 16 10 Meridith Grey 25 7 2 2 0.8 1.0
PLAYER_ID TEAM_ID UNIFORM_NUM FIRST_NAME LAST_NAME MPG PPG RPG APG SPG BPG
3 1 25 Jordan Chatman 25 9 2 1 0.6 0.2
4 1 11 A.J. Turner 31 8 3 3 0.6 0.2
6 1 2 Connar Tava 25 6 5 2 0.7 0.3
33 3 15 Frank Jackson 25 11 3 2 0.6 0.1
60 5 1 Tadric Jackson 24 12 2 2 0.7 0.2
75 6 22 Deng Adel 30 12 5 2 0.6 0.4
99 8 3 Terry Henderson 31 14 3 2 0.7 0.6
100 8 24 Maverick Rowan 30 12 4 1 0.6 0.2
